t,tf0,ts0
0.0,873.0,293.0
2478.06,873.0,655.9207362709834
4956.12,873.0,792.1062262578876
7434.179999999999,873.0,842.176577090448
9912.24,873.0,861.0406549855239
12390.3,873.0,868.2897748170376
14868.359999999999,873.0,871.1213062230091
17346.42,873.0,872.2425611643872
19824.48,873.0,872.6917699173404
22302.54,872.9438096397305,872.8655762790395
24780.6,872.8913402527842,872.880455225856
27258.66,872.8748719345689,872.8696575927295
29736.719999999998,872.8617289803855,872.8570625196263
32214.78,872.8490360334763,872.8444522586551
34692.84,872.8364493548168,872.8318822412125
37170.9,872.8238765935604,872.8193031503165
39648.96,872.8112692180251,872.8066758596608
42127.02,872.7985954925621,872.7939729296343
44605.08,871.7290099407969,872.5548476748684
47083.14,864.4134159178683,869.3264090363455
49561.2,846.9945572439877,859.0357944049194
52039.259999999995,817.7272603924982,838.6200775040204
54517.32,777.2038985825491,806.9696004444615
56995.38,727.8552735019912,765.017320319583
59473.439999999995,673.1453249463347,715.2598358798955
61951.5,616.7540948193307,661.0232992361013
64429.56,561.9528244433288,605.7434975762148
66907.62,573.3981309380273,577.6020119847324
69385.68,573.8713597266361,573.5849906164757
71863.73999999999,572.3633813529999,571.8317107406558
74341.8,570.9217445200069,570.4323996679442
76819.86,569.6301415905178,569.1872602962067
79297.92,568.4557463072555,568.0491698152953
81775.98,567.3719452868343,566.9940905265886
84254.04,566.3606164056988,566.0061817802814
86732.09999999999,873.0,593.19113885799
89210.16,873.0,770.5805688918267
91688.22,873.0,834.5876086689933
94166.28,873.0,858.2832458218805
96644.34,873.0,867.2631274882575
99122.4,873.0,870.7313191336966
101600.45999999999,873.0,872.0919117791901
104078.51999999999,873.0,872.6327396829938
106556.58,873.0,872.850135184937
109034.64,872.9616206301694,872.9300869024478
111512.7,872.9388181710467,872.9337696703457
113990.76,872.9302457988288,872.9274435994448
116468.81999999999,872.9230184363149,872.9204389290653
118946.87999999999,872.9159802159094,872.9134341371313
121424.94,872.9089814527524,872.9064389807187
123903.0,872.9019769580188,872.8994265728289
126381.06,872.8949418266732,872.8923764978107
128859.12,872.8878595430035,872.8852744138509
131337.18,871.983134237327,872.6557639951342
133815.24,866.9070750498021,870.3325447279545
136293.3,854.9513015170656,863.2379805045211
138771.36,834.4690172535029,849.0824018481837
141249.41999999998,805.1940650047072,826.6217624136337
143727.47999999998,768.1153012261848,795.8625790361101
146205.54,725.1097970085137,757.9190123609885
148683.6,678.4940643439827,714.6654169549946
151161.66,630.619427923556,668.3293779603717
153639.72,647.0214892507927,649.4175682688926
156117.78,646.8265956089431,646.4931506473877
158595.84,645.4916541047955,645.028182578925
161073.9,644.2470651834547,643.8238927920136
163551.96,643.1291919753487,642.7450057235833
166030.02,642.1090404724479,641.7551885237058
168508.08,641.1646426956852,640.834858579734
170986.13999999998,640.2810398861069,639.970933449014
173464.19999999998,873.0,687.3159940643873
175942.25999999998,873.0,804.8304702431009
178420.32,873.0,847.3389078912356
180898.38,873.0,863.1388798960986
183376.44,873.0,869.1462600534677
185854.5,873.0,871.4727600211015
188332.56,873.0,872.3875681234797
190810.62,873.0,872.751918477499
193288.68,873.0,872.898626440138
195766.74,872.9664001680172,872.9485866893584
198244.8,872.9523207826969,872.9489896697536
200722.86,872.9460740231884,872.9439826373624
203200.91999999998,872.9405909213616,872.938627196376
205678.97999999998,872.9352222710236,872.9332783475793
208157.03999999998,872.9298759433832,872.9279327550022
210635.1,872.9245208330079,872.9225702826491
213113.16,872.9191390868042,872.9171760971416
215591.22,872.9137187209573,872.911739753679
218069.28,871.9333741407562,872.6350392212861
220547.34,867.3840252894757,870.4638758326039
223025.4,857.122707079279,864.2601840630153
225503.46,839.8045714317801,852.1900574483763
227981.52,815.1154195620297,833.2060509249052
230459.58,783.6907699522317,807.201228783069
232937.63999999998,746.8595996880977,774.9139309678828
235415.69999999998,706.3273439532359,737.6848556831898
237893.75999999998,673.0772862237724,697.800981703024
240371.81999999998,684.1843075693503,685.5144132501085
242849.88,683.6496002870017,683.3073421387501
245327.94,682.4696115040161,682.06391799097
247806.0,681.3872809941438,681.0187142618222
250284.06,680.4129661358072,680.0775316470784
252762.12,679.5213751298987,679.2116918035914
255240.18,678.6941698342806,678.4049933269401
257718.24,677.9188317641551,677.6464745476251
260196.3,873.0,737.0396646593823
262674.36,873.0,822.9005230348598
265152.42,873.0,854.0798264254311
267630.48,873.0,865.7100819326549
270108.54,873.0,870.1448437061719
272586.6,873.0,871.8664061283631
275064.66,873.0,872.5447030408486
277542.72,873.0,872.8153176544038
280020.77999999997,873.0,872.9244430971961
282498.83999999997,872.9689916032422,872.9577808944699
284976.89999999997,872.9591679192037,872.9566849971053
287454.95999999996,872.9541034035775,872.952376367812
289933.01999999996,872.9495205053643,872.9478748411859
292411.08,872.9450147233472,872.9433820145723
294889.14,872.940522493216,872.9388890737
297367.2,872.9360200127686,872.934379573762
299845.26,872.9314931484153,872.9298416437945
302323.32,872.926932311592,872.925266899605
304801.38,871.8069013252702,872.5795869994924
307279.44,867.4024775420198,870.3937546504603
309757.5,857.9020138107984,864.5342899358182
312235.56,842.1900744674285,853.458842605276
314713.62,820.00005201886,836.2908405465733
317191.68,791.8373435561842,812.9287038884555
319669.74,758.7678946416985,783.9590443548105
322147.8,722.165099946672,750.4578113889403
324625.86,700.5001937137679,716.1469210163075
327103.92,707.1510444618827,707.8593612040424
329581.98,706.4460588913647,706.1083434593613
332060.04,705.3831057561289,705.0198369443023
334538.1,704.4180904992751,704.0889567902734
337016.16,703.5473670385393,703.2471313697691
339494.22,702.7486350993375,702.4708774798833
341972.27999999997,702.0061828724563,701.7463954815847
344450.33999999997,701.3092430475256,701.0642422550586
346928.39999999997,873.0,768.4507339929228
349406.45999999996,873.0,834.3350642337743
351884.51999999996,873.0,858.3534643474229
354362.57999999996,873.0,867.3426742642572
356840.64,873.0,870.779691945554
359318.7,873.0,872.1169284687221
361796.76,873.0,872.6447951320235
364274.82,873.0,872.8557327014247
366752.88,873.0,872.940911374767
369230.94,872.970762529353,872.9632540835087
371709.0,872.96337850952,872.9613914603043
374187.06,872.9590358663046,872.9575340097759
376665.12,872.9550147163434,872.9535677525042
379143.18,872.9510483882234,872.9496102281911
381621.24,872.947090060666,872.9456502581456
384099.3,872.9431204802994,872.9416738523121
386577.36,872.9391278846841,872.9376710438273
389055.42,872.9159460748602,872.9326109586938
391533.48,871.6348998239607,872.5006846464952
394011.54,867.2142580448254,870.2266226700386
396489.6,858.0721104494625,864.4773670999475
398967.66,843.2653904418339,853.9160293147688
401445.72,822.5852561916104,837.8002196761679
403923.77999999997,796.4765763345542,816.0567638718278
406401.83999999997,765.8509130320232,789.194989716603
408879.89999999997,731.8721234079088,758.132445416031
411357.95999999996,718.6485701968905,728.7338562781922
413836.01999999996,722.5955457747399,722.9310390084039
416314.07999999996,721.8073142820158,721.4788080139558
418792.13999999996,720.8322585859457,720.5001772064886
421270.2,719.9524447596023,719.6518869273184
423748.26,719.1566882915886,718.8819073836498
426226.32,718.4250816944622,718.1703921492698
428704.38,717.743853134976,717.5052893188848
431182.44,717.1035199582635,716.8782676168673
433660.5,873.0,790.020586491564
436138.56,873.0,842.2030864106315
438616.62,873.0,861.2997152172424
441094.68,873.0,868.4698935720894
443572.74,873.0,871.2185618261905
446050.8,873.0,872.290291379353
448528.86,873.0,872.7141191388992
451006.92,873.0,872.8837448542081
453484.98,873.0,872.952332984741
455963.04,872.9720426665091,872.9667635782214
458441.1,872.9661669761522,872.9644933959772
460919.16,872.9623021756637,872.9609511598748
463397.22,872.9586608323851,872.9573483297913
465875.27999999997,872.9550597654613,872.9537532985894
468353.33999999997,872.9514627945816,872.9501540039695
470831.39999999997,872.9478537549846,872.9465382304826
473309.45999999996,872.9442225324098,872.9428973454519
475787.51999999996,872.874487224005,872.9322226756663
478265.57999999996,871.4224659594666,872.3994739595611
480743.63999999996,866.8879570458558,869.9887310837198
483221.69999999995,857.868591936258,864.2104161195705
485699.76,843.5544223667948,853.8807395787923
488177.82,823.7903692627278,838.3633620558704
490655.88,798.9905877233473,817.6173784328322
493133.94,769.9672460685662,792.1086640484808
495612.0,737.742384419116,762.6515690383811
498090.06,731.0839941556543,737.6658776477972
500568.12,733.3463201542315,733.4526664057555
503046.18,732.5203588397121,732.2020868451517
505524.24,731.6117560310644,731.302837714354
508002.3,730.7945750990948,730.5149611687988
510480.36,730.0536631375097,729.7974749039355
512958.42,729.3710389761728,729.1331623063367
515436.48,728.7343996067008,728.5112780469212
517914.54,728.1352288085308,727.9243256615079
