t,x,ts,tf
0.6240625,0.895,1.0027227,1.0055957
0.7835125,0.778,1.1091027,1.189828
0.3981062499999999,0.469,1.0075039,1.0180613
0.41590625,0.948,0.999814,0.99949557
0.94975,0.457,2.197869,2.5426393
0.4155843749999999,0.479,1.011478,1.0270346
0.7788031249999999,0.993,1.0235376,1.0335879
0.2395624999999999,0.723,1.000013,1.0001184
0.3471218749999999,0.067,1.6511412,3.1007168
0.2760031249999999,0.428,0.99991626,0.99986774
0.7563843749999999,0.833,1.0520186,1.09544
0.8521374999999999,0.145,3.1127136,3.5513766
0.0104406249999999,0.428,0.99998397,1.0001426
0.761928125,0.558,1.4322377,1.6719354
0.7831062499999999,0.866,1.0526975,1.092695
0.727296875,0.916,1.01601,1.0293641
0.331940625,0.864,0.9999228,0.9998511
0.094746875,0.245,0.9999403,1.0000936
0.7635375,0.671,1.2102345,1.3513188
0.3092281249999999,0.423,0.99993706,0.99992585
0.5528124999999999,0.908,1.0001028,0.9997994
0.3321874999999999,0.062,1.5654991,3.066478
0.33334375,0.416,1.0004632,1.0010095
0.1943375,0.477,1.0000336,1.0001726
0.6257093749999999,0.292,1.9564428,2.4429412
0.565090625,0.054,2.712685,3.6863935
0.4716499999999999,0.67,1.0019765,1.0036488
0.1000499999999999,0.987,1.0000956,1.0003119
0.1908593749999999,0.363,0.9999766,1.0001088
0.622821875,0.675,1.0508444,1.0997894
0.74158125,0.764,1.0829467,1.150633
0.6104031249999999,0.299,1.874172,2.3512948
0.8722343749999999,0.355,2.3972504,2.7854447
0.177859375,0.646,1.00006,1.0002247
0.9010625,0.996,1.0868602,1.1183944
0.8485906249999999,0.264,2.6955676,3.1106098
0.7830124999999999,0.141,2.9981792,3.4982605
0.139665625,0.86,1.0000647,1.0002602
0.7322812499999999,0.03,3.1575143,3.8834336
0.2140812499999999,0.047,0.99957293,1.0008479
0.794215625,0.774,1.1232688,1.2115276
0.8735875,0.274,2.7119038,3.112959
0.781215625,0.942,1.0290914,1.0462
0.4610937499999999,0.032,2.369872,3.7483025
0.648490625,0.061,2.9287562,3.7130282
0.4601781249999999,0.748,1.0001479,0.99981344
0.2153437499999999,0.882,0.9999889,1.0001434
0.117725,0.059,0.99963915,0.9996519
0.767440625,0.54,1.491226,1.7508869
0.503109375,0.972,0.9997892,0.99922216
0.0718875,0.071,0.9996176,0.99959785
0.8274437499999999,0.259,2.6673827,3.0945897
0.67250625,0.651,1.1159852,1.2109034
